#File name: D:\kx02量子试验计划制定软件\plan test\J2K2CZ05-for Quantum_v1.2\2月16日下午短期计划\SE201702160114LJ\KX02_SE_B20170216_01_14LJ_deframe.txt
#Satellite: DAMPE
#REF_FRAME: J2000
#Created: 2017-02-16T15:23:23
#Created: 2017-02-16T15:23:23
#Prepared by University of Science and Technology of China
#Please send comments and suggestions to lfz@ustc.edu.cn
#-----------------------------------------------------------------------------------------------
实验任务类型:星地量子纠缠分发
地面站代号:LJZ
N T B Lon Lat Alt X Y Z VX VY VZ
2818 2017-02-16T17:33:35 2017-02-16T17:33:35 102.732 42.483 508254.700 -4516080.261 2323723.622 4636167.230 -3901.883 3483.738 -5526.571
2818 2017-02-16T17:33:36 2017-02-16T17:33:36 102.713 42.421 508245.200 -4519979.510 2327206.053 4630637.631 -3896.355 3480.893 -5532.257
2818 2017-02-16T17:33:37 2017-02-16T17:33:37 102.694 42.358 508235.700 -4523873.228 2330685.637 4625102.350 -3890.822 3478.043 -5537.935
2818 2017-02-16T17:33:38 2017-02-16T17:33:38 102.675 42.296 508226.200 -4527761.411 2334162.369 4619561.395 -3885.284 3475.189 -5543.607
2818 2017-02-16T17:33:39 2017-02-16T17:33:39 102.656 42.233 508216.800 -4531644.054 2337636.245 4614014.770 -3879.742 3472.330 -5549.272
2818 2017-02-16T17:33:40 2017-02-16T17:33:40 102.637 42.171 508207.300 -4535521.151 2341107.260 4608462.485 -3874.195 3469.468 -5554.930
2818 2017-02-16T17:33:41 2017-02-16T17:33:41 102.618 42.108 508197.800 -4539392.699 2344575.410 4602904.544 -3868.643 3466.601 -5560.581
2818 2017-02-16T17:33:42 2017-02-16T17:33:42 102.600 42.046 508188.300 -4543258.692 2348040.691 4597340.955 -3863.086 3463.730 -5566.225
2818 2017-02-16T17:33:43 2017-02-16T17:33:43 102.581 41.983 508178.800 -4547119.127 2351503.099 4591771.725 -3857.525 3460.855 -5571.863
2818 2017-02-16T17:33:44 2017-02-16T17:33:44 102.562 41.921 508169.300 -4550973.997 2354962.630 4586196.861 -3851.958 3457.975 -5577.494
2818 2017-02-16T17:33:45 2017-02-16T17:33:45 102.543 41.858 508159.800 -4554823.298 2358419.278 4580616.369 -3846.388 3455.092 -5583.118
2818 2017-02-16T17:33:46 2017-02-16T17:33:46 102.524 41.796 508150.300 -4558667.026 2361873.041 4575030.257 -3840.812 3452.204 -5588.735
2818 2017-02-16T17:33:47 2017-02-16T17:33:47 102.506 41.733 508140.800 -4562505.176 2365323.914 4569438.531 -3835.232 3449.311 -5594.345
2818 2017-02-16T17:33:48 2017-02-16T17:33:48 102.487 41.671 508131.300 -4566337.743 2368771.892 4563841.197 -3829.647 3446.415 -5599.948
2818 2017-02-16T17:33:49 2017-02-16T17:33:49 102.468 41.608 508121.800 -4570164.723 2372216.972 4558238.264 -3824.057 3443.514 -5605.545
2818 2017-02-16T17:33:50 2017-02-16T17:33:50 102.450 41.546 508112.400 -4573986.110 2375659.148 4552629.737 -3818.463 3440.609 -5611.134
2818 2017-02-16T17:33:51 2017-02-16T17:33:51 102.431 41.483 508102.900 -4577801.901 2379098.418 4547015.624 -3812.864 3437.700 -5616.717
2818 2017-02-16T17:33:52 2017-02-16T17:33:52 102.413 41.421 508093.400 -4581612.090 2382534.776 4541395.931 -3807.260 3434.787 -5622.293
2818 2017-02-16T17:33:53 2017-02-16T17:33:53 102.394 41.358 508083.900 -4585416.673 2385968.219 4535770.666 -3801.652 3431.869 -5627.862
2818 2017-02-16T17:33:54 2017-02-16T17:33:54 102.376 41.296 508074.400 -4589215.644 2389398.742 4530139.835 -3796.039 3428.948 -5633.424
2818 2017-02-16T17:33:55 2017-02-16T17:33:55 102.357 41.233 508064.900 -4593009.001 2392826.341 4524503.445 -3790.421 3426.022 -5638.979
2818 2017-02-16T17:33:56 2017-02-16T17:33:56 102.339 41.171 508055.500 -4596796.737 2396251.012 4518861.503 -3784.799 3423.092 -5644.528
2818 2017-02-16T17:33:57 2017-02-16T17:33:57 102.320 41.108 508046.000 -4600578.848 2399672.751 4513214.016 -3779.172 3420.157 -5650.069
2818 2017-02-16T17:33:58 2017-02-16T17:33:58 102.302 41.046 508036.500 -4604355.330 2403091.553 4507560.991 -3773.540 3417.219 -5655.604
2818 2017-02-16T17:33:59 2017-02-16T17:33:59 102.283 40.983 508027.000 -4608122.410 2406504.000 4501908.096 -3767.909 3414.279 -5661.126
2818 2017-02-16T17:34:00 2017-02-16T17:34:00 102.265 40.921 508017.500 -4611887.624 2409916.920 4496244.021 -3762.268 3411.332 -5666.646
2818 2017-02-16T17:34:01 2017-02-16T17:34:01 102.247 40.858 508008.100 -4615647.195 2413326.890 4490574.429 -3756.623 3408.381 -5672.160
2818 2017-02-16T17:34:02 2017-02-16T17:34:02 102.228 40.796 507998.600 -4619401.119 2416733.908 4484899.327 -3750.973 3405.426 -5677.667
2818 2017-02-16T17:34:03 2017-02-16T17:34:03 102.210 40.733 507989.100 -4623149.389 2420137.968 4479218.721 -3745.318 3402.467 -5683.166
2818 2017-02-16T17:34:04 2017-02-16T17:34:04 102.192 40.670 507979.700 -4626892.003 2423539.066 4473532.618 -3739.659 3399.503 -5688.659
2818 2017-02-16T17:34:05 2017-02-16T17:34:05 102.174 40.608 507970.200 -4630628.954 2426937.198 4467841.026 -3733.995 3396.535 -5694.145
2818 2017-02-16T17:34:06 2017-02-16T17:34:06 102.155 40.545 507960.700 -4634360.240 2430332.361 4462143.952 -3728.327 3393.563 -5699.624
2818 2017-02-16T17:34:07 2017-02-16T17:34:07 102.137 40.483 507951.300 -4638085.854 2433724.550 4456441.402 -3722.654 3390.587 -5705.096
2818 2017-02-16T17:34:08 2017-02-16T17:34:08 102.119 40.420 507941.800 -4641805.793 2437113.760 4450733.384 -3716.976 3387.607 -5710.560
2818 2017-02-16T17:34:09 2017-02-16T17:34:09 102.101 40.358 507932.400 -4645520.052 2440499.988 4445019.904 -3711.294 3384.623 -5716.018
2818 2017-02-16T17:34:10 2017-02-16T17:34:10 102.083 40.295 507922.900 -4649228.627 2443883.230 4439300.969 -3705.607 3381.634 -5721.469
2818 2017-02-16T17:34:11 2017-02-16T17:34:11 102.065 40.233 507913.500 -4652931.512 2447263.481 4433576.587 -3699.916 3378.642 -5726.913
2818 2017-02-16T17:34:12 2017-02-16T17:34:12 102.047 40.170 507904.000 -4656628.704 2450640.737 4427846.764 -3694.220 3375.645 -5732.350
2818 2017-02-16T17:34:13 2017-02-16T17:34:13 102.029 40.107 507894.600 -4660320.197 2454014.994 4422111.508 -3688.520 3372.644 -5737.780
2818 2017-02-16T17:34:14 2017-02-16T17:34:14 102.011 40.045 507885.100 -4664005.988 2457386.248 4416370.826 -3682.815 3369.639 -5743.202
2818 2017-02-16T17:34:15 2017-02-16T17:34:15 101.993 39.982 507875.700 -4667686.071 2460754.495 4410624.724 -3677.106 3366.630 -5748.618
2818 2017-02-16T17:34:16 2017-02-16T17:34:16 101.975 39.920 507866.200 -4671360.443 2464119.731 4404873.209 -3671.392 3363.617 -5754.027
2818 2017-02-16T17:34:17 2017-02-16T17:34:17 101.957 39.857 507856.800 -4675029.098 2467481.951 4399116.290 -3665.674 3360.599 -5759.428
2818 2017-02-16T17:34:18 2017-02-16T17:34:18 101.939 39.794 507847.400 -4678692.033 2470841.152 4393353.972 -3659.951 3357.578 -5764.823
2818 2017-02-16T17:34:19 2017-02-16T17:34:19 101.921 39.732 507838.000 -4682349.242 2474197.329 4387586.263 -3654.224 3354.552 -5770.211
2818 2017-02-16T17:34:20 2017-02-16T17:34:20 101.903 39.669 507828.500 -4686000.722 2477550.478 4381813.169 -3648.492 3351.522 -5775.591
2818 2017-02-16T17:34:21 2017-02-16T17:34:21 101.885 39.607 507819.100 -4689646.467 2480900.595 4376034.699 -3642.756 3348.489 -5780.964
2818 2017-02-16T17:34:22 2017-02-16T17:34:22 101.868 39.544 507809.700 -4693286.474 2484247.676 4370250.858 -3637.015 3345.451 -5786.331
2818 2017-02-16T17:34:23 2017-02-16T17:34:23 101.850 39.482 507800.300 -4696920.737 2487591.717 4364461.655 -3631.270 3342.409 -5791.690
2818 2017-02-16T17:34:24 2017-02-16T17:34:24 101.832 39.419 507790.900 -4700549.253 2490932.714 4358667.096 -3625.520 3339.362 -5797.042
2818 2017-02-16T17:34:25 2017-02-16T17:34:25 101.814 39.356 507781.500 -4704172.017 2494270.663 4352867.188 -3619.766 3336.312 -5802.387
2818 2017-02-16T17:34:26 2017-02-16T17:34:26 101.797 39.294 507772.100 -4707789.024 2497605.559 4347061.938 -3614.007 3333.258 -5807.725
2818 2017-02-16T17:34:27 2017-02-16T17:34:27 101.779 39.231 507762.700 -4711400.270 2500937.399 4341251.354 -3608.244 3330.199 -5813.056
2818 2017-02-16T17:34:28 2017-02-16T17:34:28 101.761 39.169 507753.300 -4715005.751 2504266.178 4335435.443 -3602.477 3327.137 -5818.379
2818 2017-02-16T17:34:29 2017-02-16T17:34:29 101.744 39.106 507743.900 -4718601.866 2507588.569 4329620.034 -3596.711 3324.073 -5823.690
2818 2017-02-16T17:34:30 2017-02-16T17:34:30 101.726 39.044 507734.500 -4722195.809 2510911.218 4323793.495 -3590.935 3321.003 -5829.000
2818 2017-02-16T17:34:31 2017-02-16T17:34:31 101.709 38.981 507725.100 -4725783.973 2514230.794 4317961.649 -3585.154 3317.928 -5834.302
2818 2017-02-16T17:34:32 2017-02-16T17:34:32 101.691 38.918 507715.700 -4729366.354 2517547.294 4312124.505 -3579.369 3314.849 -5839.597
2818 2017-02-16T17:34:33 2017-02-16T17:34:33 101.674 38.856 507706.400 -4732942.947 2520860.712 4306282.069 -3573.580 3311.767 -5844.885
2818 2017-02-16T17:34:34 2017-02-16T17:34:34 101.656 38.793 507697.000 -4736513.749 2524171.046 4300434.349 -3567.786 3308.680 -5850.166
2818 2017-02-16T17:34:35 2017-02-16T17:34:35 101.638 38.730 507687.600 -4740078.755 2527478.291 4294581.351 -3561.988 3305.589 -5855.439
2818 2017-02-16T17:34:36 2017-02-16T17:34:36 101.621 38.668 507678.300 -4743637.960 2530782.442 4288723.083 -3556.185 3302.494 -5860.706
2818 2017-02-16T17:34:37 2017-02-16T17:34:37 101.604 38.605 507668.900 -4747191.360 2534083.496 4282859.552 -3550.378 3299.395 -5865.965
2818 2017-02-16T17:34:38 2017-02-16T17:34:38 101.586 38.542 507659.600 -4750738.951 2537381.450 4276990.765 -3544.567 3296.292 -5871.217
2818 2017-02-16T17:34:39 2017-02-16T17:34:39 101.569 38.480 507650.200 -4754280.729 2540676.298 4271116.729 -3538.751 3293.185 -5876.462
2818 2017-02-16T17:34:40 2017-02-16T17:34:40 101.551 38.417 507640.900 -4757816.688 2543968.036 4265237.452 -3532.931 3290.073 -5881.700
2818 2017-02-16T17:34:41 2017-02-16T17:34:41 101.534 38.355 507631.500 -4761346.825 2547256.662 4259352.941 -3527.107 3286.958 -5886.930
2818 2017-02-16T17:34:42 2017-02-16T17:34:42 101.517 38.292 507622.200 -4764871.136 2550542.170 4253463.203 -3521.279 3283.839 -5892.153
2818 2017-02-16T17:34:43 2017-02-16T17:34:43 101.499 38.229 507612.900 -4768389.615 2553824.557 4247568.245 -3515.446 3280.716 -5897.369
2818 2017-02-16T17:34:44 2017-02-16T17:34:44 101.482 38.167 507603.600 -4771902.259 2557103.819 4241668.075 -3509.608 3277.589 -5902.578
2818 2017-02-16T17:34:45 2017-02-16T17:34:45 101.465 38.104 507594.200 -4775409.064 2560379.951 4235762.699 -3503.767 3274.457 -5907.779
2818 2017-02-16T17:34:46 2017-02-16T17:34:46 101.448 38.041 507584.900 -4778910.025 2563652.950 4229852.125 -3497.921 3271.322 -5912.974
2818 2017-02-16T17:34:47 2017-02-16T17:34:47 101.430 37.979 507575.600 -4782405.137 2566922.811 4223936.360 -3492.071 3268.183 -5918.161
2818 2017-02-16T17:34:48 2017-02-16T17:34:48 101.413 37.916 507566.300 -4785894.397 2570189.532 4218015.412 -3486.216 3265.039 -5923.341
2818 2017-02-16T17:34:49 2017-02-16T17:34:49 101.396 37.853 507557.000 -4789377.801 2573453.106 4212089.287 -3480.358 3261.892 -5928.513
2818 2017-02-16T17:34:50 2017-02-16T17:34:50 101.379 37.791 507547.800 -4792855.343 2576713.532 4206157.993 -3474.495 3258.741 -5933.678
2818 2017-02-16T17:34:51 2017-02-16T17:34:51 101.362 37.728 507538.500 -4796327.020 2579970.804 4200221.538 -3468.628 3255.586 -5938.836
2818 2017-02-16T17:34:52 2017-02-16T17:34:52 101.345 37.666 507529.200 -4799792.828 2583224.918 4194279.927 -3462.756 3252.426 -5943.987
2818 2017-02-16T17:34:53 2017-02-16T17:34:53 101.328 37.603 507519.900 -4803252.761 2586475.871 4188333.170 -3456.880 3249.263 -5949.131
2818 2017-02-16T17:34:54 2017-02-16T17:34:54 101.311 37.540 507510.700 -4806706.817 2589723.659 4182381.273 -3451.000 3246.096 -5954.267
2818 2017-02-16T17:34:55 2017-02-16T17:34:55 101.293 37.477 507501.400 -4810154.990 2592968.278 4176424.243 -3445.116 3242.925 -5959.396
2818 2017-02-16T17:34:56 2017-02-16T17:34:56 101.277 37.415 507492.200 -4813597.277 2596209.723 4170462.087 -3439.228 3239.750 -5964.517
2818 2017-02-16T17:34:57 2017-02-16T17:34:57 101.260 37.352 507482.900 -4817033.673 2599447.991 4164494.814 -3433.335 3236.570 -5969.631
2818 2017-02-16T17:34:58 2017-02-16T17:34:58 101.243 37.289 507473.700 -4820464.175 2602683.078 4158522.430 -3427.438 3233.387 -5974.738
2818 2017-02-16T17:34:59 2017-02-16T17:34:59 101.226 37.227 507464.500 -4823885.355 2605911.749 4152550.922 -3421.543 3230.203 -5979.833
2818 2017-02-16T17:35:00 2017-02-16T17:35:00 101.209 37.164 507455.200 -4827304.060 2609140.465 4146568.343 -3415.638 3227.012 -5984.925
2818 2017-02-16T17:35:01 2017-02-16T17:35:01 101.192 37.102 507446.000 -4830716.857 2612365.987 4140580.676 -3409.729 3223.817 -5990.010
2818 2017-02-16T17:35:02 2017-02-16T17:35:02 101.175 37.039 507436.800 -4834123.743 2615588.313 4134587.927 -3403.815 3220.618 -5995.088
2818 2017-02-16T17:35:03 2017-02-16T17:35:03 101.158 36.976 507427.600 -4837524.712 2618807.437 4128590.104 -3397.897 3217.416 -6000.158
2818 2017-02-16T17:35:04 2017-02-16T17:35:04 101.141 36.913 507418.400 -4840919.762 2622023.357 4122587.215 -3391.975 3214.209 -6005.221
2818 2017-02-16T17:35:05 2017-02-16T17:35:05 101.124 36.851 507409.200 -4844308.887 2625236.067 4116579.266 -3386.049 3210.998 -6010.276
2818 2017-02-16T17:35:06 2017-02-16T17:35:06 101.108 36.788 507400.000 -4847692.084 2628445.565 4110566.265 -3380.119 3207.783 -6015.324
2818 2017-02-16T17:35:07 2017-02-16T17:35:07 101.091 36.725 507390.900 -4851069.348 2631651.846 4104548.219 -3374.184 3204.565 -6020.365
2818 2017-02-16T17:35:08 2017-02-16T17:35:08 101.074 36.663 507381.700 -4854440.675 2634854.906 4098525.136 -3368.246 3201.342 -6025.399
2818 2017-02-16T17:35:09 2017-02-16T17:35:09 101.057 36.600 507372.500 -4857806.062 2638054.742 4092497.024 -3362.303 3198.116 -6030.425
2818 2017-02-16T17:35:10 2017-02-16T17:35:10 101.040 36.537 507363.400 -4861165.504 2641251.349 4086463.888 -3356.356 3194.885 -6035.443
2818 2017-02-16T17:35:11 2017-02-16T17:35:11 101.024 36.475 507354.200 -4864518.996 2644444.723 4080425.738 -3350.405 3191.651 -6040.454
2818 2017-02-16T17:35:12 2017-02-16T17:35:12 101.007 36.412 507345.100 -4867866.536 2647634.862 4074382.580 -3344.450 3188.413 -6045.458
2818 2017-02-16T17:35:13 2017-02-16T17:35:13 100.990 36.349 507336.000 -4871208.118 2650821.760 4068334.422 -3338.491 3185.171 -6050.455
2818 2017-02-16T17:35:14 2017-02-16T17:35:14 100.974 36.287 507326.800 -4874543.739 2654005.413 4062281.270 -3332.528 3181.924 -6055.444
2818 2017-02-16T17:35:15 2017-02-16T17:35:15 100.957 36.224 507317.700 -4877873.394 2657185.819 4056223.134 -3326.560 3178.675 -6060.425
2818 2017-02-16T17:35:16 2017-02-16T17:35:16 100.941 36.161 507308.600 -4881197.080 2660362.973 4050160.019 -3320.589 3175.421 -6065.399
2818 2017-02-16T17:35:17 2017-02-16T17:35:17 100.924 36.099 507299.500 -4884514.792 2663536.871 4044091.934 -3314.614 3172.163 -6070.366
2818 2017-02-16T17:35:18 2017-02-16T17:35:18 100.907 36.036 507290.400 -4887826.526 2666707.509 4038018.885 -3308.634 3168.901 -6075.325
2818 2017-02-16T17:35:19 2017-02-16T17:35:19 100.891 35.973 507281.300 -4891132.279 2669874.883 4031940.881 -3302.650 3165.636 -6080.277
2818 2017-02-16T17:35:20 2017-02-16T17:35:20 100.874 35.910 507272.300 -4894432.045 2673038.990 4025857.929 -3296.663 3162.367 -6085.222
2818 2017-02-16T17:35:21 2017-02-16T17:35:21 100.858 35.848 507263.200 -4897725.822 2676199.825 4019770.036 -3290.671 3159.093 -6090.159
2818 2017-02-16T17:35:22 2017-02-16T17:35:22 100.841 35.785 507254.100 -4901013.605 2679357.385 4013677.209 -3284.675 3155.816 -6095.088
2818 2017-02-16T17:35:23 2017-02-16T17:35:23 100.825 35.722 507245.100 -4904295.390 2682511.666 4007579.457 -3278.675 3152.535 -6100.010
2818 2017-02-16T17:35:24 2017-02-16T17:35:24 100.808 35.660 507236.000 -4907571.172 2685662.664 4001476.786 -3272.672 3149.250 -6104.924
2818 2017-02-16T17:35:25 2017-02-16T17:35:25 100.792 35.597 507227.000 -4910840.949 2688810.375 3995369.204 -3266.664 3145.962 -6109.831
2818 2017-02-16T17:35:26 2017-02-16T17:35:26 100.776 35.534 507218.000 -4914104.716 2691954.796 3989256.719 -3260.652 3142.669 -6114.731
2818 2017-02-16T17:35:27 2017-02-16T17:35:27 100.759 35.471 507209.000 -4917362.469 2695095.922 3983139.338 -3254.636 3139.373 -6119.623
2818 2017-02-16T17:35:28 2017-02-16T17:35:28 100.743 35.409 507200.000 -4920614.203 2698233.749 3977017.069 -3248.616 3136.072 -6124.507
2818 2017-02-16T17:35:29 2017-02-16T17:35:29 100.727 35.346 507191.000 -4923856.674 2701365.141 3970896.047 -3242.598 3132.772 -6129.380
2818 2017-02-16T17:35:30 2017-02-16T17:35:30 100.710 35.283 507182.000 -4927096.366 2704496.363 3964764.028 -3236.571 3129.464 -6134.249
2818 2017-02-16T17:35:31 2017-02-16T17:35:31 100.694 35.221 507173.000 -4930330.029 2707624.275 3958627.143 -3230.539 3126.152 -6139.111
2818 2017-02-16T17:35:32 2017-02-16T17:35:32 100.677 35.158 507164.000 -4933557.658 2710748.874 3952485.400 -3224.503 3122.836 -6143.966
2818 2017-02-16T17:35:33 2017-02-16T17:35:33 100.661 35.095 507155.100 -4936779.249 2713870.155 3946338.806 -3218.464 3119.517 -6148.812
2818 2017-02-16T17:35:34 2017-02-16T17:35:34 100.645 35.032 507146.100 -4939994.798 2716988.114 3940187.369 -3212.420 3116.194 -6153.652
2818 2017-02-16T17:35:35 2017-02-16T17:35:35 100.629 34.969 507137.200 -4943204.301 2720102.748 3934031.095 -3206.372 3112.867 -6158.484
2818 2017-02-16T17:35:36 2017-02-16T17:35:36 100.613 34.907 507128.200 -4946407.754 2723214.053 3927869.994 -3200.321 3109.536 -6163.308
2818 2017-02-16T17:35:37 2017-02-16T17:35:37 100.596 34.844 507119.300 -4949605.154 2726322.025 3921704.072 -3194.265 3106.201 -6168.125
2818 2017-02-16T17:35:38 2017-02-16T17:35:38 100.580 34.781 507110.400 -4952796.496 2729426.660 3915533.336 -3188.206 3102.862 -6172.934
2818 2017-02-16T17:35:39 2017-02-16T17:35:39 100.564 34.718 507101.500 -4955981.777 2732527.955 3909357.796 -3182.143 3099.520 -6177.735
2818 2017-02-16T17:35:40 2017-02-16T17:35:40 100.548 34.656 507092.600 -4959160.992 2735625.905 3903177.457 -3176.076 3096.174 -6182.529
2818 2017-02-16T17:35:41 2017-02-16T17:35:41 100.532 34.593 507083.700 -4962334.138 2738720.508 3896992.328 -3170.005 3092.824 -6187.316
2818 2017-02-16T17:35:42 2017-02-16T17:35:42 100.516 34.530 507074.800 -4965501.211 2741811.758 3890802.416 -3163.930 3089.470 -6192.095
2818 2017-02-16T17:35:43 2017-02-16T17:35:43 100.499 34.468 507066.000 -4968662.207 2744899.653 3884607.729 -3157.851 3086.113 -6196.866
2818 2017-02-16T17:35:44 2017-02-16T17:35:44 100.483 34.405 507057.100 -4971817.121 2747984.188 3878408.274 -3151.768 3082.752 -6201.630
2818 2017-02-16T17:35:45 2017-02-16T17:35:45 100.467 34.342 507048.300 -4974965.951 2751065.360 3872204.059 -3145.681 3079.387 -6206.386
2818 2017-02-16T17:35:46 2017-02-16T17:35:46 100.451 34.279 507039.400 -4978108.692 2754143.165 3865995.092 -3139.591 3076.018 -6211.134
2818 2017-02-16T17:35:47 2017-02-16T17:35:47 100.435 34.217 507030.600 -4981245.341 2757217.599 3859781.380 -3133.497 3072.645 -6215.875
2818 2017-02-16T17:35:48 2017-02-16T17:35:48 100.419 34.154 507021.800 -4984375.893 2760288.659 3853562.931 -3127.399 3069.269 -6220.608
2818 2017-02-16T17:35:49 2017-02-16T17:35:49 100.403 34.091 507013.000 -4987500.345 2763356.340 3847339.752 -3121.297 3065.889 -6225.334
2818 2017-02-16T17:35:50 2017-02-16T17:35:50 100.387 34.028 507004.200 -4990618.692 2766420.639 3841111.851 -3115.191 3062.505 -6230.052
2818 2017-02-16T17:35:51 2017-02-16T17:35:51 100.371 33.965 506995.400 -4993730.932 2769481.552 3834879.236 -3109.081 3059.117 -6234.762
2818 2017-02-16T17:35:52 2017-02-16T17:35:52 100.355 33.903 506986.700 -4996837.060 2772539.076 3828641.914 -3102.968 3055.726 -6239.465
2818 2017-02-16T17:35:53 2017-02-16T17:35:53 100.339 33.840 506977.900 -4999937.073 2775593.206 3822399.894 -3096.850 3052.331 -6244.160
2818 2017-02-16T17:35:54 2017-02-16T17:35:54 100.324 33.777 506969.100 -5003030.966 2778643.939 3816153.182 -3090.729 3048.932 -6248.847
2818 2017-02-16T17:35:55 2017-02-16T17:35:55 100.308 33.714 506960.400 -5006118.736 2781691.272 3809901.786 -3084.605 3045.529 -6253.527
2818 2017-02-16T17:35:56 2017-02-16T17:35:56 100.292 33.651 506951.700 -5009200.379 2784735.199 3803645.714 -3078.476 3042.123 -6258.199
2818 2017-02-16T17:35:57 2017-02-16T17:35:57 100.276 33.589 506943.000 -5012275.891 2787775.719 3797384.974 -3072.343 3038.713 -6262.863
2818 2017-02-16T17:35:58 2017-02-16T17:35:58 100.260 33.526 506934.300 -5015345.269 2790812.826 3791119.574 -3066.207 3035.299 -6267.520
2818 2017-02-16T17:35:59 2017-02-16T17:35:59 100.244 33.463 506925.600 -5018405.449 2793843.486 3784855.792 -3060.073 3031.885 -6272.164
2818 2017-02-16T17:36:00 2017-02-16T17:36:00 100.228 33.401 506916.900 -5021462.552 2796873.762 3778581.098 -3053.930 3028.464 -6276.806
